intervid,treatment,resp_female,resp_primary,resp_secondary,resp_tertiary,resp_noschool,resp_age,resp_married,resp_emp,hhmem,hhmem_adults,hhmem_children,hhmem_elderly,hhmem_employed,hhmem_unemployed,hhmem_retired,hhmem_school,total_exp,food_exp,nondur_exp,dur_exp,temp_exp,savings_avg,followup
2,1,1,1,0,0,0,29,0,0,5,2,3,0,0,1,0,2,5740,2080,960,1400,1300,0,1
4,0,0,0,0,1,0,49,0,0,4,3,1,0,0,2,0,2,34678,30160,4488,30,0,500,1
6,0,0,1,0,0,0,24,1,1,1,1,0,0,1,0,0,0,9180,2600,420,4340,1820,0,1
7,0,0,0,1,0,0,45,0,1,1,1,0,0,1,0,0,0,12696,9360,1812,900,624,0,1
8,1,0,1,0,0,0,52,0,1,4,2,2,0,1,0,0,2,2960,2600,360,0,0,0,1
13,1,0,0,1,0,0,18,1,1,5,3,2,0,3,0,0,1,9188,7800,360,300,728,500,1
14,1,0,1,0,0,0,43,0,0,5,4,1,0,0,1,0,3,15340,10920,3360,800,260,0,1
22,1,1,1,0,0,0,28,0,0,6,3,3,0,0,1,0,3,9110,7020,960,1130,0,0,1
26,1,1,1,0,0,0,28,0,0,5,2,3,0,1,0,0,2,7320,5200,1920,200,0,3000,1
29,1,0,1,0,0,0,62,0,1,3,3,0,0,1,1,0,0,7680,5200,2280,200,0,0,1
31,0,1,1,0,0,0,23,0,1,4,2,1,0,1,1,0,1,6680,2860,1200,2100,520,0,1
33,1,0,0,1,0,0,27,1,1,3,3,0,0,2,0,0,0,11720,5720,3000,400,2600,0,1
37,1,0,0,1,0,0,28,0,1,3,2,1,0,2,0,0,0,24000,13000,5400,400,5200,0,1
38,1,0,1,0,0,0,45,0,0,3,3,0,0,0,3,0,0,5248,2600,48,0,2600,0,1
39,0,0,1,0,0,0,36,0,0,3,2,1,0,0,3,0,0,12640,5200,4440,3000,0,500,1
45,1,0,0,1,0,0,44,0,0,4,3,1,0,1,0,1,1,2878,1820,240,350,468,0,1
48,0,0,0,1,0,0,48,0,1,4,3,1,1,2,0,1,1,12050,8060,1440,2550,0,7000,1
49,0,0,1,0,0,0,38,0,1,5,3,2,1,2,0,1,2,13400,8840,3840,200,520,7000,1
50,1,1,1,0,0,0,28,0,1,4,2,2,0,2,0,0,2,6880,3120,1920,800,1040,0,1
52,1,0,0,1,0,0,52,0,1,2,2,0,0,2,0,0,0,8380,5200,3180,0,0,1500,1
54,1,0,0,1,0,0,18,1,1,2,2,0,0,1,0,1,0,10780,5200,5580,0,0,0,1
56,1,0,0,1,0,0,42,0,0,7,5,2,0,0,1,2,3,23080,5200,5340,11500,1040,0,1
57,0,0,1,0,0,0,53,0,1,2,2,0,0,1,0,1,0,9060,8060,480,0,520,0,1
58,1,0,0,1,0,0,50,0,0,2,2,0,0,0,0,1,1,6900,2600,600,3700,0,0,1
61,1,1,0,0,1,0,34,0,0,6,4,2,0,1,1,0,4,45180,11440,6600,26100,1040,0,1
70,1,1,0,1,0,0,41,0,1,4,2,2,0,1,1,0,2,4040,1560,1920,560,0,0,1
71,0,0,1,0,0,0,52,0,1,2,2,0,0,1,0,0,0,3320,2080,240,480,520,0,1
72,1,0,0,1,0,0,38,0,1,5,4,1,0,1,1,0,3,40899,16640,6000,16699,1560,3000,1
74,1,1,0,1,0,0,24,1,0,3,3,0,0,1,0,1,0,14360,7800,2760,3800,0,0,1
75,0,0,0,1,0,0,24,1,0,3,3,0,0,1,1,0,0,22260,6240,4680,10300,1040,0,1
76,1,0,0,1,0,0,45,0,1,4,3,1,0,2,0,0,2,5920,5200,120,600,0,0,1
78,1,1,0,1,0,0,43,0,1,5,3,2,0,2,0,1,2,16450,13000,600,2850,0,0,1
81,0,1,1,0,0,0,45,0,1,4,3,1,0,1,0,1,2,16840,10400,5400,0,1040,0,1
83,0,0,0,1,0,0,29,0,1,4,2,1,0,1,0,0,0,4560,3120,60,600,780,1500,1
85,0,0,0,1,0,0,30,0,1,3,2,0,0,1,1,0,1,9660,5200,2400,500,1560,7000,1
89,1,0,1,0,0,0,54,0,1,5,4,1,0,3,1,0,1,3676,2600,36,0,1040,0,1
90,0,0,1,0,0,0,48,0,1,5,4,1,1,1,1,0,1,12860,3120,1200,7500,1040,0,1
91,0,1,0,1,0,0,33,0,1,4,3,1,0,2,0,0,2,11380,5200,3480,2700,0,3000,1
92,1,0,0,1,0,0,41,0,0,3,2,1,0,0,1,0,1,5260,3120,720,120,1300,0,1
94,0,0,1,0,0,0,40,0,1,7,2,5,0,1,0,0,4,2984,1560,240,300,884,0,1
95,1,1,1,0,0,0,42,0,0,6,4,2,0,1,0,0,3,7164,3640,1200,1700,624,0,1
96,0,0,0,1,0,0,45,0,1,5,5,0,1,4,0,1,0,5532,3640,1476,0,416,7000,1
102,1,1,0,1,0,0,22,1,1,3,3,0,0,1,0,1,0,34620,20800,10920,300,2600,0,1
103,0,1,0,1,0,0,26,0,1,4,2,2,0,2,0,0,2,10772,7800,672,2300,0,0,1
104,1,0,0,1,0,0,24,0,1,5,4,1,0,2,1,0,2,8524,4160,984,2600,780,1500,1
108,1,0,0,1,0,0,50,0,1,4,4,0,0,4,0,0,0,12400,9360,1020,1500,520,0,1
111,0,1,0,1,0,0,52,0,0,2,1,1,0,0,1,0,1,6464,5200,600,300,364,3000,1
113,1,0,1,0,0,0,24,1,1,4,4,0,0,1,3,0,0,3720,2080,600,0,1040,0,1
114,0,0,1,0,0,0,48,0,1,3,2,1,0,1,0,0,0,4000,2600,360,0,1040,0,1
115,1,0,1,0,0,0,44,0,0,3,3,0,0,0,1,2,0,1360,1248,12,100,0,0,1
117,1,0,1,0,0,0,30,0,0,5,3,2,0,0,4,1,0,13380,10400,2280,700,0,3000,1
121,1,0,0,1,0,0,33,1,1,3,3,0,1,1,0,1,0,5250,2600,672,1250,728,0,1
122,1,1,0,1,0,0,51,0,1,5,4,1,1,1,2,1,1,13687,8320,3024,1043,1300,15000,1
123,0,1,1,0,0,0,31,0,0,5,2,2,0,1,1,0,0,2710,2080,480,150,0,0,1
125,0,0,1,0,0,0,52,1,0,1,1,0,0,0,1,0,0,2120,1248,48,200,624,0,1
126,0,0,0,1,0,0,59,0,0,1,1,0,0,0,1,0,0,10274,5200,1224,1250,2600,0,1
127,0,1,1,0,0,0,53,0,0,4,3,1,0,1,0,1,1,2840,2600,240,0,0,0,1
128,1,0,0,1,0,0,35,1,1,2,2,0,1,1,0,1,0,3252,1560,672,500,520,0,1
129,0,1,0,1,0,0,41,0,1,5,3,2,0,2,1,0,3,41960,41600,360,0,0,0,1
131,0,1,0,1,0,0,36,0,1,5,3,2,0,2,0,0,2,12600,11180,720,700,0,1500,1
132,1,1,0,0,1,0,62,0,1,2,2,0,1,1,0,1,0,1220,1040,180,0,0,0,1
135,1,1,0,1,0,0,47,0,0,2,2,0,1,0,1,1,0,9900,6760,2640,500,0,0,1
139,1,0,1,0,0,0,54,0,1,3,3,0,0,1,2,0,0,8760,5200,2520,0,1040,0,1
140,0,1,1,0,0,0,34,0,1,4,3,1,0,2,0,0,2,5356,3848,480,300,728,0,1
143,0,1,0,1,0,0,44,0,0,4,4,0,0,0,3,0,1,5652,3640,1200,500,312,0,1
144,0,1,0,1,0,0,30,0,1,6,4,2,1,3,0,1,2,4280,3380,600,300,0,0,1
147,1,1,0,0,1,0,34,0,0,5,3,2,1,1,1,1,1,7200,6760,240,200,0,1500,1
148,0,0,1,0,0,0,60,0,0,2,2,0,0,0,0,1,0,8768,6240,300,1500,728,0,1
153,0,0,0,1,0,0,34,0,1,7,5,2,0,3,0,0,2,10160,5460,1800,2900,0,3000,1
155,0,0,0,1,0,0,24,0,1,5,4,1,0,1,0,1,0,10596,2080,6000,2100,416,0,1
156,0,1,1,0,0,0,31,0,1,4,2,2,0,2,0,0,1,27770,23400,960,2370,1040,0,1
157,1,0,0,1,0,0,42,0,1,4,2,2,0,1,1,0,2,11508,6240,3888,1380,0,0,1
159,0,0,1,0,0,0,27,0,1,7,2,4,0,1,0,0,2,16210,10400,3240,2050,520,0,1
160,1,0,1,0,0,0,47,0,1,3,3,0,0,1,2,0,0,3480,3120,360,0,0,0,1
161,1,1,0,1,0,0,19,1,1,1,1,0,0,1,0,0,0,12744,4420,6900,800,624,0,1
164,1,1,1,0,0,0,45,0,0,4,3,1,0,1,1,0,1,13400,10400,1920,300,780,0,1
166,0,1,0,1,0,0,29,0,0,5,2,3,0,1,1,0,2,4380,2600,240,500,1040,0,1
169,1,1,0,1,0,0,23,0,1,3,2,1,0,1,0,1,0,6480,5200,240,0,1040,0,1
170,1,0,0,1,0,0,45,0,0,5,5,0,0,1,2,0,2,16500,13000,240,1700,1560,0,1
172,1,0,0,1,0,0,27,0,1,6,5,1,0,2,3,0,1,7380,5200,60,300,1820,0,1
174,1,0,1,0,0,0,35,0,0,5,3,2,0,0,1,1,2,21740,1820,6000,13400,520,7000,1
177,0,1,0,1,0,0,20,0,1,3,3,0,0,2,0,1,0,3625,2600,168,77,780,0,1
180,1,0,0,1,0,0,26,1,0,3,3,0,2,0,2,0,0,8600,5200,2400,1000,0,0,1
181,1,1,0,1,0,0,43,0,1,3,2,1,0,2,0,0,1,21360,18200,2160,1000,0,3000,1
183,0,1,0,1,0,0,50,0,1,5,4,1,0,3,0,0,2,8600,2600,6000,0,0,0,1
184,0,0,1,0,0,0,36,0,1,4,2,2,0,1,0,0,2,14780,5200,2160,6900,520,1500,1
187,1,0,1,0,0,0,55,0,1,3,3,0,0,3,0,0,0,7000,2080,120,3500,1300,500,1
189,1,1,0,1,0,0,31,0,0,3,1,2,0,0,1,0,1,4246,3640,36,50,520,0,1
196,1,1,1,0,0,0,45,0,0,5,4,1,0,1,2,0,2,9004,2860,4644,1500,0,500,1
201,0,0,0,1,0,0,20,1,0,4,3,1,0,1,1,0,1,9540,4160,3600,1000,780,0,1
202,1,0,1,0,0,0,44,0,1,4,4,0,0,2,0,0,1,17740,11180,3360,1900,1300,0,1
204,1,0,0,1,0,0,50,0,0,3,3,0,0,0,1,0,2,4296,1560,1800,0,936,0,1
205,0,1,0,1,0,0,32,0,0,5,2,3,0,1,1,0,2,17866,8840,4248,4050,728,0,1
206,0,1,0,1,0,0,39,0,1,6,3,3,0,2,0,0,3,15160,7800,3600,2200,1560,0,1
209,1,1,0,1,0,0,42,0,1,4,2,2,0,1,0,0,3,4030,3640,240,150,0,0,1
212,1,0,0,1,0,0,46,0,0,4,2,2,0,0,1,0,2,12372,10400,1464,300,208,0,1
214,1,0,0,1,0,0,46,0,1,2,2,0,1,1,0,1,0,4500,4160,240,100,0,0,1
215,0,0,0,1,0,0,22,0,1,2,2,0,0,2,0,0,0,12850,5200,5400,1470,780,1500,1
226,1,1,1,0,0,0,29,0,0,5,2,3,0,1,1,0,2,6212,5200,600,100,312,1500,1
227,0,1,1,0,0,0,27,0,0,4,2,2,0,1,1,0,1,6560,4160,600,1800,0,0,1
229,1,0,1,0,0,0,50,0,1,3,3,0,0,2,0,0,0,9168,4160,4800,0,208,500,1
230,0,0,1,0,0,0,65,0,0,4,4,0,2,0,2,1,0,14760,7800,720,0,6240,0,1
232,1,0,0,1,0,0,24,1,1,4,4,0,1,2,0,1,0,55900,5200,13800,36900,0,7000,1
233,1,0,0,1,0,0,39,0,0,3,2,1,0,1,1,0,1,3860,260,3600,0,0,0,1
234,0,0,0,1,0,0,28,1,1,6,6,0,1,2,1,1,1,10810,6240,1440,1050,2080,15000,1
237,1,0,1,0,0,0,52,0,0,2,2,0,0,0,1,0,0,3100,520,1800,0,780,0,1
243,1,0,1,0,0,0,37,0,1,2,2,0,0,2,0,0,0,16560,7800,7200,0,1560,0,1
244,1,0,1,0,0,0,52,0,1,2,2,0,0,1,0,0,0,6660,3120,540,3000,0,0,1
253,1,1,0,1,0,0,26,0,0,4,2,2,0,1,1,0,2,8820,3640,2760,1900,520,500,1
255,1,1,0,1,0,0,40,0,0,4,2,2,0,1,0,0,2,14200,9360,4140,700,0,0,1
257,0,0,0,1,0,0,18,1,0,3,1,1,0,0,0,1,1,32460,19240,8160,3500,1560,0,1
265,1,1,1,0,0,0,28,0,0,4,2,2,0,1,0,0,2,10440,8320,780,300,1040,0,1
266,1,0,1,0,0,0,33,0,1,2,2,0,0,2,0,0,0,6800,3640,420,1700,1040,7000,1
268,1,1,0,1,0,0,34,0,1,4,2,2,0,2,0,0,2,13460,7800,3960,920,780,1500,1
270,0,1,0,1,0,0,30,1,1,3,2,1,0,2,0,0,0,2660,2600,60,0,0,0,1
274,1,0,0,1,0,0,55,0,0,4,4,0,0,2,1,0,1,14740,13000,1740,0,0,0,1
277,1,1,1,0,0,0,60,0,0,5,4,1,1,1,1,1,1,4216,1040,768,2200,208,0,1
279,0,0,1,0,0,0,41,0,0,3,2,1,0,0,1,0,1,2660,1040,1320,300,0,0,1
280,1,1,1,0,0,0,47,0,1,1,1,0,0,1,0,0,0,5220,3640,60,1000,520,0,1
287,0,0,1,0,0,0,35,0,1,5,2,3,0,1,0,0,2,8630,5200,1440,1470,520,0,1
289,0,1,1,0,0,0,29,0,1,3,2,1,0,2,0,0,1,5920,3120,1560,200,1040,0,1
290,0,0,0,1,0,0,41,0,1,7,3,4,0,1,1,0,5,3684,2080,480,500,624,0,1
291,1,1,1,0,0,0,22,0,0,6,4,2,0,2,0,0,0,6080,5720,360,0,0,0,1
299,1,1,1,0,0,0,54,0,0,3,3,0,0,0,2,0,1,7768,5200,1344,600,624,0,1
302,0,1,1,0,0,0,42,0,1,2,2,0,0,2,0,0,0,13172,5200,672,7300,0,0,1
308,1,0,0,1,0,0,17,1,0,4,4,0,0,0,3,0,1,24900,4420,16920,2000,1560,3000,1
310,1,1,0,1,0,0,23,0,1,1,1,0,0,1,0,0,0,6510,4680,1680,150,0,1500,1
312,0,0,0,1,0,0,30,0,0,6,4,2,0,2,1,0,2,32860,11960,2400,18500,0,15000,1
314,0,1,1,0,0,0,66,0,0,1,1,0,1,0,0,1,0,14938,2600,1560,10050,728,0,1
320,0,1,1,0,0,0,47,0,0,4,4,0,0,0,2,0,1,6750,5200,720,50,780,0,1
323,1,1,0,1,0,0,53,0,1,3,2,1,0,2,0,0,1,9308,6240,2148,400,520,1500,1
324,0,1,0,1,0,0,19,1,1,1,1,0,0,1,0,0,0,8560,5200,1800,0,1560,0,1
326,1,1,0,1,0,0,31,1,1,3,3,0,0,1,0,1,0,10260,6760,3000,500,0,0,1
327,1,1,1,0,0,0,43,0,1,4,4,0,0,3,1,0,0,4880,2080,2400,400,0,0,1
329,0,1,0,1,0,0,41,0,0,4,3,1,1,0,1,1,2,6640,520,300,5300,520,0,1
330,1,0,0,1,0,0,42,0,1,5,3,2,0,1,0,0,3,7885,3380,600,3125,780,0,1
333,1,0,0,1,0,0,31,0,1,4,2,2,0,1,1,0,2,11880,10920,360,600,0,500,1
334,0,0,0,1,0,0,27,1,1,4,4,0,0,3,0,0,1,35340,13000,7440,4500,10400,3000,1
338,0,1,0,1,0,0,45,0,0,2,1,1,0,0,1,0,1,5420,3120,600,1700,0,0,1
339,0,0,1,0,0,0,53,0,1,5,5,0,0,2,2,0,1,15190,3640,3600,7950,0,0,1
341,0,0,1,0,0,0,26,1,1,3,3,0,0,2,1,0,0,23760,20800,1920,0,1040,0,1
343,1,0,1,0,0,0,40,1,0,2,2,0,0,0,2,0,0,7420,5200,600,60,1560,0,1
346,1,0,0,1,0,0,25,0,0,5,5,0,0,2,3,0,0,8560,4160,3000,100,1300,0,1
347,0,0,0,1,0,0,47,0,0,3,3,0,0,1,2,0,0,7780,3640,4080,60,0,0,1
350,0,1,1,0,0,0,37,0,0,3,2,1,0,0,2,0,0,2160,1040,600,0,520,0,1
355,1,1,0,1,0,0,50,0,0,5,5,0,0,0,4,0,1,11600,7800,1440,800,1560,1500,1
356,0,1,0,1,0,0,20,1,1,4,3,1,0,2,1,0,0,8980,7280,1200,500,0,0,1
358,1,1,0,1,0,0,27,0,0,4,2,2,0,0,1,1,1,11100,5200,2580,1500,1820,0,1
359,0,0,1,0,0,0,40,0,0,7,3,4,0,0,3,0,1,3620,2600,240,0,780,0,1
360,1,0,1,0,0,0,33,1,0,2,2,0,0,0,1,1,0,7870,2080,3420,2370,0,500,1
361,1,0,1,0,0,0,48,0,1,5,3,2,1,1,0,1,2,6380,4160,1320,900,0,3000,1
362,0,0,1,0,0,0,50,0,0,2,2,0,0,0,2,0,0,7070,4160,1620,250,1040,0,1
364,1,0,1,0,0,0,44,0,0,5,4,1,1,0,2,0,1,4140,2600,540,1000,0,0,1
365,0,0,1,0,0,0,49,0,1,4,3,1,0,2,0,0,1,14390,12220,540,850,780,0,1
367,0,0,1,0,0,0,18,1,1,4,4,0,0,1,0,1,2,15896,2340,3744,9500,312,0,1
368,0,0,0,1,0,0,43,0,1,3,3,0,0,2,0,0,1,10632,9100,300,400,832,0,1
369,1,1,0,1,0,0,41,0,0,4,3,1,0,1,1,0,2,4760,1040,1200,2000,520,0,1
370,0,0,1,0,0,0,17,0,0,2,2,0,0,0,1,0,0,6840,6240,600,0,0,0,1
371,0,0,0,1,0,0,44,0,1,8,6,2,1,2,1,1,2,25320,14040,6564,4300,416,3000,1
372,0,0,0,1,0,0,32,0,1,4,2,1,0,1,1,0,0,11000,8840,600,0,1560,0,1
373,1,0,0,1,0,0,60,0,1,2,2,0,0,2,0,0,0,7808,2600,1632,2900,676,0,1
374,1,0,1,0,0,0,40,0,1,6,6,0,2,2,2,0,1,14000,2600,8400,3000,0,0,1
376,1,1,1,0,0,0,31,0,0,7,3,4,0,1,0,0,2,21175,20800,360,15,0,1500,1
377,1,0,0,1,0,0,28,0,1,4,2,2,0,2,0,0,1,54100,7800,4320,39900,2080,0,1
378,0,1,0,1,0,0,42,0,0,2,2,0,0,0,2,0,0,5400,2600,360,620,1820,0,1
379,0,1,0,1,0,0,26,0,1,6,4,2,1,2,0,2,1,7268,4420,600,1520,728,1500,1
381,1,0,0,1,0,0,42,0,1,5,4,1,0,1,0,0,3,32640,20800,5400,200,6240,0,1
383,1,0,1,0,0,0,41,0,1,4,2,2,0,1,0,0,2,5424,2080,1200,1000,1144,0,1
385,1,0,0,1,0,0,21,1,1,2,2,0,0,1,1,0,0,8818,4940,2748,350,780,500,1
387,1,0,0,1,0,0,33,0,1,5,2,3,0,1,0,0,2,10264,6448,1860,500,1456,500,1
389,1,1,1,0,0,0,58,1,0,1,1,0,0,0,0,0,0,2460,1560,840,60,0,0,1
390,0,0,0,1,0,0,20,1,1,1,1,0,0,1,0,0,0,21800,10400,3600,0,7800,0,1
392,0,0,0,1,0,0,50,0,1,5,4,1,0,1,2,0,3,41120,13000,7560,19000,1560,15000,1
395,1,0,0,1,0,0,27,0,1,3,2,1,0,2,0,0,0,9750,7800,1500,450,0,0,1
396,0,0,0,1,0,0,30,1,1,2,2,0,0,1,0,1,0,7396,5200,900,880,416,0,1
399,1,1,0,1,0,0,39,0,0,6,3,3,0,1,1,0,4,17320,5200,12120,0,0,0,1
400,0,1,0,1,0,0,20,0,0,3,2,0,0,1,1,0,0,6760,2600,2640,1000,520,0,1
402,0,1,0,0,1,0,20,1,1,5,4,1,0,2,0,1,3,7099,3120,3720,259,0,0,1
